playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Dustin,Byfuglien,8470834,31.2109589041,20152016,R,D,WPG,81,23.1509500184,41.4280158224,247,4,119,1512.1851,27.4567,
Brett,Bulmer,8475757,24.1232876712,20152016,R,R,MIN,3,0.0,0.0,2,-1,7,403.0,11.3333,
Nicklas,Grossmann,8471269,31.3863013699,20152016,L,D,ARI,58,3.6554131608,4.8738842144,42,-3,24,1067.1551,26.0862,
Mike,Blunden,8471663,29.4904109589,20152016,R,R,TBL,20,3.6554131608,2.4369421072,14,3,34,519.2,12.4,
Logan,Couture,8474053,27.2054794521,20152016,L,C,SJS,52,18.277065804,25.5878921256,137,2,20,1043.2307,23.0384,
Brayden,Schenn,8475170,24.802739726,20152016,L,C,PHI,80,31.6802473936,40.2095447688,178,3,33,1013.6375,21.5,
Erik,Karlsson,8474578,26.0301369863,20152016,R,D,OTT,82,19.4955368576,80.4190895376,248,-2,50,1738.4756,27.0853,
David,Desharnais,8471976,29.7424657534,20152016,L,C,MTL,65,13.4031815896,21.9324789648,90,-6,20,960.1692,22.0615,
Frank,Vatrano,8478366,22.2410958904,20152016,L,C,BOS,39,9.7477684288,3.6554131608,99,-3,14,712.8205,16.923,
Dylan,McIlrath,8475795,24.1397260274,20152016,R,D,NYR,34,2.4369421072,2.4369421072,28,7,64,847.4411,20.647,
Marek,Hrivik,8475949,24.7863013699,20152016,R,R,NYR,5,0.0,1.2184710536,3,3,0,643.0,16.6,
Kyle,Clifford,8475160,25.4082191781,20152016,L,L,LAK,56,3.6554131608,7.3108263216,68,-1,55,560.9821,13.5714,
Jared,Cowen,8475174,25.3753424658,20152016,L,D,OTT,37,0.0,4.8738842144,23,7,16,1018.7567,21.7297,
Joe,Vitale,8471856,30.8109589041,20152016,R,C,ARI,1,0.0,0.0,1,1,5,373.0,10.0,
Nikita,Zadorov,8477507,21.1506849315,20152016,L,D,COL,22,0.0,2.4369421072,18,-5,12,1015.9545,21.3181,
Jeff,Carter,8470604,31.4438356164,20152016,R,C,LAK,77,29.2433052864,46.3019000368,242,18,20,1103.2987,23.1948,
Bryan,Bickell,8471254,30.2602739726,20152016,L,L,CHI,25,0.0,2.4369421072,21,-5,2,587.28,13.96,
Andrew,Bodnarchuk,8473550,27.9178082192,20152016,L,D,CBJ|COL,37,0.0,4.8738842144,9,-7,14,740.3783,17.5675,
John,Tavares,8475166,25.7232876712,20152016,L,C,NYI,78,40.2095447688,45.0834289832,250,6,38,1199.6666,22.3589,
Dustin,Jeffrey,8474138,28.2876712329,20152016,L,L,ARI,7,1.2184710536,1.2184710536,5,2,2,684.4285,16.1428,
Brandon,Bollig,8475650,29.3616438356,20152016,L,L,CGY,54,2.4369421072,2.4369421072,56,-10,103,557.3888,14.7592,
Josh,Gorges,8470324,31.8273972603,20152016,L,D,BUF,77,2.4369421072,12.184710536,57,-7,72,1227.909,28.7402,
Leo,Komarov,8473463,29.3835616438,20152016,L,C,TOR,67,23.1509500184,20.7140079112,130,-12,40,1070.1044,26.7761,
Jaden,Schwartz,8475768,23.9589041096,20152016,L,L,STL,33,9.7477684288,17.0585947504,63,8,8,1032.2121,24.4545,
Alexandre,Burrows,8470358,35.1726027397,20152016,L,R,VAN,79,10.9662394824,15.8401236968,135,-13,49,910.1898,21.443,
Michael,Chaput,8475808,24.1698630137,20152016,L,C,CBJ,8,1.2184710536,1.2184710536,10,3,5,539.875,13.0,
Marc-Edouard,Vlasic,8471709,29.202739726,20152016,L,D,SJS,67,9.7477684288,37.7726026616,116,15,48,1387.791,27.1791,
