playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Ryan,Kesler,8470616,31.7808219178,20152016,R,C,ANA,79,25.5878921256,38.9910737152,164,5,78,1171.8987,26.9746,
Jaromir,Jagr,8448208,44.3315068493,20152016,L,R,FLA,79,32.8987184472,47.5203710904,143,23,48,1024.5063,20.4556,
Nikolay,Kulemin,8473579,29.9123287671,20152016,L,L,NYI,81,10.9662394824,15.8401236968,92,13,22,843.6543,20.6666,
Marko,Dano,8477448,21.5260273973,20152016,L,C,CHI|WPG,34,6.092355268,6.092355268,54,-7,10,735.0882,16.647,
Alexey,Marchenko,8476289,24.4383561644,20152016,R,D,DET,66,2.4369421072,10.9662394824,40,-5,10,1009.8636,24.5606,
Johnny,Oduya,8469665,34.698630137,20152016,L,D,DAL,82,4.8738842144,20.7140079112,63,8,26,1222.6463,27.2804,
David,Schlemko,8473673,29.098630137,20152016,L,D,NJD,67,7.3108263216,15.8401236968,104,-22,16,1118.9402,24.5074,
Derek,Dorsett,8473432,29.4767123288,20152016,R,R,VAN,71,6.092355268,13.4031815896,91,-13,177,755.4225,18.2112,
James,Wisniewski,8470222,32.3068493151,20152016,R,D,CAR,1,0.0,0.0,0,0,0,47.0,2.0,
Ben,Harpur,8477433,21.4082191781,20152016,L,D,OTT,5,0.0,1.2184710536,3,1,2,819.6,17.4,
Nail,Yakupov,8476855,22.6767123288,20152016,L,R,EDM,60,9.7477684288,18.277065804,127,-16,24,853.3,19.3,
Jonathan,Ericsson,8470318,32.2794520548,20152016,L,D,DET,71,3.6554131608,14.6216526432,68,2,56,1112.0704,27.5633,
Jori,Lehtera,8474627,28.4684931507,20152016,L,C,STL,79,10.9662394824,30.46177634,83,12,38,964.962,24.0379,
John,Klingberg,8475906,23.8219178082,20152016,R,D,DAL,76,12.184710536,58.4866105728,171,22,30,1361.2894,27.1052,
Miikka,Salomaki,8476447,23.2547945205,20152016,L,R,NSH,61,6.092355268,6.092355268,61,-1,28,720.0491,17.5737,
