playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
David,Schlemko,8473673,28.9835616438,20152016,L,D,NJD,67,6,13,104,-22,16,1118.9402,24.5074,
Sami,Vatanen,8475222,24.9068493151,20152016,R,D,ANA,71,9,29,140,8,20,1278.8309,26.2394,
Derek,Dorsett,8473432,29.3616438356,20152016,R,R,VAN,71,5,11,91,-13,177,755.4225,18.2112,
James,Wisniewski,8470222,32.1917808219,20152016,R,D,CAR,1,0,0,0,0,0,47.0,2.0,
Michael,McCarron,8477446,21.1452054795,20152016,R,R,MTL,20,1,1,41,-10,37,700.9,17.7,
Rinat,Valiev,8477642,20.9671232877,20152016,L,D,TOR,10,0,0,7,0,0,735.0,18.2,
Ty,Rattie,8476427,23.2273972603,20152016,R,R,STL,13,4,2,16,1,4,557.2307,14.2307,
Mike,Blunden,8471663,29.3753424658,20152016,R,R,TBL,20,3,2,14,3,34,519.2,12.4,
Ben,Harpur,8477433,21.2931506849,20152016,L,D,OTT,5,0,1,3,1,2,819.6,17.4,
Paul,Gaustad,8468700,34.2410958904,20152016,L,C,NSH,63,2,4,46,-4,46,674.5238,18.0158,
Luke,Gazdic,8473989,26.7643835616,20152016,L,L,EDM,29,1,0,18,-6,24,371.862,9.7931,
Jonathan,Ericsson,8470318,32.1643835616,20152016,L,D,DET,71,3,12,68,2,56,1112.0704,27.5633,
Jori,Lehtera,8474627,28.3534246575,20152016,L,C,STL,79,9,25,83,12,38,964.962,24.0379,
John,Klingberg,8475906,23.7068493151,20152016,R,D,DAL,76,10,48,171,22,30,1361.2894,27.1052,
Reilly,Smith,8475191,25.0794520548,20152016,L,R,FLA,82,25,25,173,19,31,1116.6585,23.8658,
Frans,Nielsen,8470144,32.0191780822,20152016,L,C,NYI,81,20,32,181,1,12,1063.1975,24.0987,
Chris,Thorburn,8469501,32.9123287671,20152016,R,R,WPG,82,6,6,70,-1,81,607.2804,15.7073,
Kyle,Baun,8478393,23.9863013699,20152016,R,R,CHI,2,0,0,1,-2,0,543.0,12.0,
Adam,Pelech,8476917,21.701369863,20152016,L,D,NYI,9,0,2,8,-1,0,1054.7777,21.1111,
Gustav,Olofsson,8477467,21.4082191781,20152016,L,D,MIN,2,0,0,1,0,0,551.5,13.5,
Chris,Summers,8473589,28.2328767123,20152016,L,D,NYR,3,0,0,5,-2,4,923.3333,25.3333,
Harry,Zolnierczyk,8476158,28.6630136986,20152016,L,C,ANA,1,0,0,1,-1,0,528.0,14.0,
Brandon,Dubinsky,8471273,30.0054794521,20152016,L,C,CBJ,75,17,31,158,-16,71,1125.7866,24.44,
Brendan,Woods,8476944,23.8821917808,20152016,L,L,CAR,5,0,0,5,0,7,522.4,12.8,
Adam,Lowry,8476392,23.0849315068,20152016,L,C,WPG,74,7,10,73,-9,53,841.1081,20.3108,
Teemu,Pulkkinen,8475800,24.3232876712,20152016,R,L,DET,36,6,6,65,2,14,694.0277,16.3888,
Cody,Bass,8471760,29.3123287671,20152016,R,C,NSH,17,0,0,11,-1,17,459.7647,12.4705,
Stanislav,Galiev,8475816,24.2821917808,20152016,R,R,WSH,24,0,3,30,2,4,547.2083,11.875,
Kris,Letang,8471724,29.0191780822,20152016,R,D,PIT,71,16,51,218,9,66,1616.7042,30.9577,
Scott,Mayfield,8476429,23.5397260274,20152016,R,D,NYI,6,1,0,4,-4,11,1026.5,19.8333,
Micheal,Haley,8474230,30.0876712329,20152016,L,C,SJS,16,1,0,10,-2,48,425.875,11.0625,
Devin,Shore,8476913,21.7780821918,20152016,L,C,DAL,3,0,0,1,2,0,727.0,16.6666,
Aaron,Ness,8474604,25.9506849315,20152016,L,D,WSH,8,0,2,8,4,2,743.25,17.5,
Jonas,Brodin,8476463,22.797260274,20152016,L,D,MIN,68,2,5,58,-5,18,1225.1617,26.3529,
Evgeny,Medvedev,8478563,33.6794520548,20152016,L,D,PHI,45,4,8,71,5,34,1129.7111,24.7111,
Anthony,Bitetto,8475868,25.7917808219,20152016,L,D,NSH,28,1,5,19,0,19,728.0357,16.8571,
Jimmy,Hayes,8474625,26.4383561644,20152016,R,R,BOS,75,13,16,127,-12,60,829.5866,18.0,
Jakub,Nakladal,8478562,28.3342465753,20152016,R,D,CGY,27,2,3,42,-5,6,851.4074,18.7407,
Andrej,Sustr,8477205,25.4164383562,20152016,R,D,TBL,77,4,17,65,-2,30,1010.1818,21.4155,
Antoine,Roussel,8474849,26.4383561644,20152016,L,L,DAL,80,13,16,111,11,123,831.425,21.1875,
Vincent,Trocheck,8476389,22.8,20152016,R,C,FLA,76,25,28,174,15,44,1066.2105,21.2894,
Jeremy,Welsh,8476819,28.0,20152016,L,C,STL,2,0,0,0,0,2,498.5,13.0,
Robert,Bortuzzo,8474145,27.1178082192,20152016,R,D,STL,40,2,1,47,2,52,796.15,20.525,
Andrew,Copp,8477429,21.8082191781,20152016,L,C,WPG,77,7,6,54,8,6,480.1948,12.0519,
Clarke,MacArthur,8470667,31.0684931507,20152016,L,L,OTT,4,0,0,4,-1,0,651.5,15.0,
Brian,Flynn,8476808,27.7616438356,20152016,R,C,MTL,56,4,6,73,-3,6,703.9821,19.9107,
Jakob,Silfverberg,8475164,25.5452054795,20152016,R,R,ANA,82,20,19,215,8,32,1018.4634,24.1097,
Ben,Street,8476043,29.2109589041,20152016,L,C,COL,7,0,0,8,-1,4,440.7142,12.4285,
Paul,Stastny,8471669,30.3424657534,20152016,L,C,STL,64,10,39,103,3,26,1149.0937,26.7812,
Patrice,Cormier,8474616,25.8767123288,20152016,L,C,WPG,2,0,0,1,0,0,269.5,6.5,
Chase,De Leo,8478029,20.5095890411,20152016,L,C,WPG,2,0,0,2,1,0,565.0,12.5,
Andrew,Ference,8466333,37.1287671233,20152016,L,D,EDM,6,0,0,4,-4,6,783.5,18.5,
Melker,Karlsson,8477922,25.7835616438,20152016,R,C,SJS,65,10,9,96,5,16,811.4153,20.3076,
Brett,Kulak,8476967,22.3095890411,20152016,L,D,CGY,8,0,0,9,-2,0,740.75,18.25,
Ryan,Spooner,8475727,24.2465753425,20152016,L,C,BOS,80,13,36,162,-9,35,908.4625,19.2375,
Matt,Calvert,8474685,26.3479452055,20152016,L,L,CBJ,73,11,13,114,1,51,907.6849,20.2876,
Henrik,Zetterberg,8468083,35.5616438356,20152016,L,L,DET,82,13,37,214,-15,24,1164.6219,24.0731,
Vladislav,Namestnikov,8476480,23.4328767123,20152016,L,C,TBL,80,14,21,106,17,45,846.95,17.4125,
Mike,Weber,8473426,28.3726027397,20152016,L,D,BUF|WSH,45,1,4,40,2,60,928.8222,21.9333,
Andrew,Desjardins,8471956,29.7616438356,20152016,L,L,CHI,77,8,5,96,-8,30,802.922,19.6623,
Erik,Gudbranson,8475790,24.3095890411,20152016,R,D,FLA,64,2,7,73,3,49,1206.75,23.25,
Kris,Versteeg,8471346,29.9671232877,20152016,R,R,CAR|LAK,77,15,23,156,0,45,923.2727,20.8051,
Nikolay,Kulemin,8473579,29.797260274,20152016,L,L,NYI,81,9,13,92,13,22,843.6543,20.6666,
Sean,Monahan,8477497,21.5452054795,20152016,L,C,CGY,81,27,36,197,-6,18,1150.1975,26.2716,
J.T.,Miller,8476468,23.1260273973,20152016,L,C,NYR,82,22,21,135,10,46,902.0853,20.4268,
Jason,Chimera,8466251,37.002739726,20152016,L,L,WSH,82,20,20,165,0,22,843.0365,19.6829,
Kris,Russell,8471729,28.997260274,20152016,L,D,CGY|DAL,62,4,15,70,-5,10,1384.5483,31.0161,
Frank,Corrado,8476302,23.0931506849,20152016,R,D,TOR,39,1,5,46,-12,26,867.2307,21.3589,
