playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Scott,Hartnell,8468486,34.1534246575,20142015,L,L,CBJ,77,28,32,204,1,100,1037.8181,22.5454,
Harry,Zolnierczyk,8476158,28.7780821918,20142015,L,C,NYI,2,0,0,1,-1,0,667.5,15.5,
Rene,Bourque,8471504,34.5068493151,20142015,L,R,MTL|ANA|CBJ,51,6,8,85,-15,22,758.0588,16.9215,
Ryan,Malone,8467988,36.5342465753,20142015,L,L,NYR,6,0,0,6,-4,4,601.6666,14.0,
Alexander,Steen,8470257,32.2821917808,20142015,L,L,STL,74,24,40,223,8,33,1198.8378,28.0675,
Troy,Bodie,8470867,31.3780821918,20142015,R,R,TOR,5,0,0,1,0,5,277.0,7.6,
Johnny,Boychuk,8470187,32.397260274,20142015,R,D,NYI,72,9,26,192,15,14,1300.8333,25.3055,
Lee,Stempniak,8470740,33.3534246575,20142015,R,R,NYR|WPG,71,15,13,115,8,20,763.2676,18.4929,
Martin,Havlat,8467899,35.1506849315,20142015,L,R,NJD,40,5,9,49,-11,10,888.45,19.6,
Dennis,Wideman,8469770,33.2328767123,20142015,R,D,CGY,80,15,41,173,6,34,1478.55,31.0875,
Patrick,Brown,8477887,24.0328767123,20142015,R,C,CAR,7,0,0,4,-4,4,532.8571,13.0,
Scottie,Upshall,8470105,32.6821917808,20142015,L,R,FLA,63,8,7,93,-8,28,760.9206,18.2063,
Craig,Smith,8475225,26.7643835616,20142015,R,R,NSH,82,23,21,252,11,44,944.4268,20.9634,
Nick,Schultz,8468513,33.8,20142015,L,D,PHI,80,2,13,69,2,47,1142.8125,27.975,
Jiri,Tlusty,8473482,28.2383561644,20142015,L,L,CAR|WPG,72,14,17,123,-18,20,961.25,22.5,
Brock,Nelson,8475754,24.6547945205,20142015,L,L,NYI,82,20,22,190,6,24,952.9878,20.9024,
Justin,Shugg,8475826,24.4630136986,20142015,R,R,CAR,3,0,0,3,0,2,341.6666,7.6666,
Matt,Halischuk,8474094,28.0273972603,20142015,R,R,WPG,47,3,5,59,5,6,584.6808,15.2127,
Ryan,Carter,8473646,32.8602739726,20142015,L,L,MIN,53,3,10,47,3,55,605.4528,14.7924,
Jamie,McGinn,8473465,27.8493150685,20142015,L,L,COL,19,4,2,36,-9,6,886.2105,18.8947,
Tuomo,Ruutu,8469462,33.3205479452,20142015,L,L,NJD,77,7,6,74,-3,28,651.8961,15.4025,
Matt,Greene,8470121,33.0849315068,20142015,R,D,LAK,82,3,6,69,1,54,948.0609,23.5243,
Brad,Richardson,8470755,31.3506849315,20142015,L,R,VAN,45,8,13,66,0,34,868.2888,21.5333,
Jori,Lehtera,8474627,28.4684931507,20142015,L,C,STL,75,14,30,103,21,48,972.64,23.9466,
Zack,Kassian,8475178,25.3780821918,20142015,R,R,VAN,42,10,6,55,-5,81,757.0952,17.0,
Tom,Gilbert,8470104,33.4219178082,20142015,R,D,MTL,72,4,8,70,10,30,1160.3611,25.0555,
Ryan,Ellis,8475176,25.4356164384,20142015,R,D,NSH,58,9,18,118,8,27,1138.9137,24.2241,
Matthew,Carle,8470640,31.7123287671,20142015,L,D,TBL,59,4,14,73,12,26,1229.2711,24.983,
Sean,Collins,8474744,27.4493150685,20142015,L,C,CBJ,8,0,2,4,0,2,620.0,15.75,
Gustav,Nyquist,8474679,26.7753424658,20142015,L,R,DET,82,27,27,195,-11,26,999.4024,22.1585,
Dougie,Hamilton,8476462,22.9808219178,20142015,R,D,BOS,72,10,32,188,-3,41,1280.1527,26.9444,
Marcus,Johansson,8475149,25.6794520548,20142015,L,L,WSH,82,20,27,138,6,10,988.5,19.6829,
Paul,Byron,8474038,27.1232876712,20142015,L,L,CGY,57,6,13,62,-2,8,868.0877,23.2631,
Chris,Mueller,8474535,30.2684931507,20142015,R,C,NYR,7,1,1,10,-1,0,627.1428,17.0,
Justin,Williams,8468508,34.6904109589,20142015,R,R,LAK,81,18,23,174,8,29,949.1975,19.2716,
Dainius,Zubrus,8464977,37.9945205479,20142015,L,C,NJD,74,4,6,72,-9,42,879.5405,20.3378,
Karl,Stollery,8476798,28.5561643836,20142015,L,D,COL|SJS,10,0,0,9,-1,6,883.7,21.0,
Viktor,Stalberg,8473537,30.4,20142015,L,L,NSH,25,2,8,27,0,18,713.08,16.84,
Stuart,Percy,8476478,23.0630136986,20142015,L,D,TOR,9,0,3,13,-4,2,1084.6666,24.7777,
Jakob,Silfverberg,8475164,25.6602739726,20142015,R,R,ANA,81,13,26,189,15,24,939.6913,21.1975,
Anthony,Duclair,8477407,20.7890410959,20142015,L,L,NYR,18,1,6,18,4,4,729.3888,17.3333,
Mark,Borowiecki,8474697,26.9150684932,20142015,L,D,OTT,63,1,10,30,15,107,954.6349,22.0317,
Phil,Kessel,8473548,28.6931506849,20142015,R,R,TOR,82,25,36,280,-34,30,1127.5975,21.9024,
Zemgus,Girgensons,8476878,22.4273972603,20142015,L,C,BUF,61,15,15,115,-16,25,1144.7704,23.7213,
Blake,Comeau,8471260,30.3123287671,20142015,R,L,PIT,61,16,15,147,6,65,917.0491,21.4426,
David,Van Der Gulik,8470189,33.1479452055,20142015,L,L,LAK,1,0,0,1,0,0,315.0,10.0,
Thomas,Vanek,8470598,32.397260274,20142015,R,L,MIN,80,21,31,171,-6,37,972.5125,19.775,
Cam,Fowler,8475764,24.5150684932,20142015,L,D,ANA,80,7,27,87,4,14,1268.625,25.7,
